,Report Number,Report Date,Occur Date,Occur Time,Possible Date,Possible Time,Beat,Apartment Office Prefix,Apartment Number,Location,Shift Occurence,Location Type,UCR Literal,IBR Code,Neighborhood,NPU,Latitude,Longitude
67,90010656,2009-01-01,2009-01-01,0640,2009-01-01,725.0,509.0,,,221 PEACHTREE CENTER AVE NE,Day Watch,18,AUTO THEFT,2434,Downtown,M,33.76045,-84.38556
68,90011478,2009-01-01,2008-12-31,2030,2009-01-01,1830.0,103.0,,,1271 MARIETTA BLVD NW,Evening Watch,3,ROBBERY-PEDESTRIAN,1206,Blandtown,D,33.78949,-84.42819
69,90010314,2009-01-01,2008-12-31,2200,2009-01-01,145.0,403.0,,,14 BELMONTE CT SW,Morning Watch,18,AUTO THEFT,2424,Cascade Avenue/Road,S,33.72544,-84.44497
70,90010350,2009-01-01,2009-01-01,0220,2009-01-01,223.0,310.0,,2601,585 MCWILLIAMS RD SE,Morning Watch,18,AUTO THEFT,2424,Browns Mill Park,Z,33.68869,-84.36880999999998
71,90010358,2009-01-01,2009-01-01,0030,2009-01-01,200.0,108.0,,,2174 PENELOPE ST NW,Unknown,18,AUTO THEFT,2424,Penelope Neighbors,J,33.75449,-84.45717999999998
72,90010628,2009-01-01,2009-01-01,0500,2009-01-01,600.0,302.0,,3313,765 MCDANIEL ST SW,Day Watch,18,AUTO THEFT,2424,Pittsburgh,V,33.73396,-84.40177
73,90010722,2009-01-01,2009-01-01,0700,2009-01-01,705.0,408.0,,,1345 WESTRIDGE RD SW,Day Watch,20,AUTO THEFT,2424,Venetian Hills,S,33.71851,-84.44718
74,90010741,2009-01-01,2009-01-01,0849,2009-01-01,850.0,410.0,,,1812 FORT VALLEY DR SW,Day Watch,20,AUTO THEFT,2424,Pomona Park,R,33.70553,-84.45010999999998
75,83661583,2009-01-01,2008-12-31,1900,2008-12-31,1915.0,603.0,,,356 BOULEVARD,Evening Watch,23,ROBBERY-PEDESTRIAN,1299S,Old Fourth Ward,M,33.76421,-84.37206
76,90010159,2009-01-01,2009-01-01,0057,2009-01-01,105.0,206.0,,,BUCKEAD AVE/GRANDVIEW AVE,Morning Watch,99,ROBBERY-PEDESTRIAN,1204,Buckhead Village,B,33.83752,-84.37573999999998
77,90010726,2009-01-01,2009-01-01,0800,2009-01-01,825.0,510.0,,,160 JOHN WESLEY DOBBS AVE,Day Watch,23,ROBBERY-PEDESTRIAN,1204,Downtown,M,33.75734,-84.38256
78,90010982,2009-01-01,2009-01-01,1200,2009-01-01,1230.0,406.0,,,3202 MARTIN L KING DR,Day Watch,10,ROBBERY-PEDESTRIAN,1204,,I,33.75081,-84.49406
79,90011484,2009-01-01,2009-01-01,1830,2009-01-01,1840.0,512.0,,,90 BROAD ST SW,Evening Watch,13,ROBBERY-PEDESTRIAN,1204,Downtown,M,33.75204,-84.39282
80,90011534,2009-01-01,2008-12-31,1900,2008-12-31,1900.0,108.0,,,2181 MARTIN L KING JR DR NW,Evening Watch,13,ROBBERY-PEDESTRIAN,1204,Florida Heights,I,33.7526,-84.46294
81,90010400,2009-01-01,2009-01-01,0100,2009-01-01,130.0,511.0,,,54 PEACHTREE ST SW,Morning Watch,13,AGG ASSAULT,1314,Downtown,M,33.75286,-84.3912
82,90010689,2009-01-01,2009-01-01,0715,2009-01-01,730.0,107.0,,15,345 LANIER ST NW,Day Watch,26,AGG ASSAULT,1314,Grove Park,J,33.76449,-84.4392
